apt_name,total Price,prefecture,city,town,line,station,way,walking time,area [m2],room,L,D,K,S,balcony [m2],date_year,date_month,age
秀和西麻布レジデンス,41800000,東京,港,西麻布４,東京メトロ日比谷線,広尾,徒歩,10,30.06,1,0,1,1,0,-,1970,5,55
ワコー東日本橋マンション,42500000,東京,中央,日本橋浜町１,都営新宿線,浜町,徒歩,4,42.74,1,1,1,1,0,3.66,1980,4,45
ワコー東日本橋マンション,42500000,東京,中央,日本橋浜町１-3-7,都営新宿線,浜町,徒歩,4,42.74,1,1,1,1,0,3.66,1980,4,45
インペリアル音羽フラット,42500000,東京,文京,音羽１-13-9,東京メトロ有楽町線,護国寺,徒歩,5,45.28,2,0,1,1,0,4.05,1983,11,42
メゾンドール高田馬場,43500000,東京,新宿,高田馬場２-5-24,ＪＲ山手線,高田馬場,徒歩,9,62.64,1,1,1,1,1,3.24,1973,10,52
グランドメゾン田町,43900000,東京,港,芝浦２,ＪＲ山手線,田町,徒歩,10,40.02,1,1,1,1,0,4.39,1983,1,42
【パラスト幡ヶ谷】,43990000,東京,渋谷,幡ヶ谷２,京王線,笹塚,徒歩,6,50.05,2,1,1,1,0,4.51,1971,11,54
日興パレス文京,44800000,東京,文京,本駒込４,東京メトロ千代田線,千駄木,徒歩,12,58.05,2,1,1,1,0,2.16,1979,2,46
レッツ飯田橋,44800000,東京,新宿,新小川町4-18,ＪＲ総武線,飯田橋,徒歩,7,40.04,2,0,1,1,0,-,1980,11,45
プレジール三番町,44800000,東京,千代田,三番町,東京メトロ半蔵門線,半蔵門,徒歩,8,25.47,1,0,0,0,0,-,1999,12,26
キョウエイハイツ田町,44900000,東京,港,芝浦２,ＪＲ山手線,田町,徒歩,10,44.2,2,0,1,1,0,6.39,1980,9,45
デュオステージ下落合,44900000,東京,新宿,中落合１-4-1,西武新宿線,下落合,徒歩,5,30.24,1,1,1,1,0,4.32,2022,9,3
キャッスルマンション西新宿,44990000,東京,新宿,西新宿７-22-48,ＪＲ山手線,新宿,徒歩,9,40.39,1,1,1,1,0,2.2,1983,6,42
東銀座ロイアルハイツ,45000000,東京,中央,築地４,都営浅草線,東銀座,徒歩,4,30.8,1,0,1,1,0,2.5,1982,5,43
ル・シック本駒込,45900000,東京,文京,本駒込４-36-9,ＪＲ山手線,田端,徒歩,9,40.97,1,1,1,1,0,9.5,1996,9,29
キャッスルマンション荒木町,45900000,東京,新宿,荒木町,東京メトロ丸ノ内線,四谷三丁目,徒歩,5,43.58,1,1,1,1,0,2.38,1983,11,42
代々木コーポラス,46500000,東京,渋谷,代々木３-8-1,小田急線,南新宿,徒歩,6,45.36,2,0,1,1,0,14.26,1968,12,57
ワコー千石マンション,46500000,東京,文京,千石３,都営三田線,千石,徒歩,12,48.62,1,1,1,1,0,6.6,1982,8,43
オリエンタル南麻布,46800000,東京,港,南麻布４,東京メトロ日比谷線,広尾,徒歩,10,42.54,1,1,1,1,0,4.4,1984,11,41
プリマシュロス文京本駒込,46800000,東京,文京,本駒込４-７－２,東京メトロ南北線,本駒込,徒歩,10,38.88,1,1,1,1,0,5.16,2012,12,13
オリエンタル南麻布,46800000,東京,港,南麻布４,東京メトロ日比谷線,広尾,徒歩,8,44.74,1,1,1,1,0,14.68,1984,11,41
≪当社売主・長谷工のリノベ≫オーベルジュ日本橋,46900000,東京,中央,日本橋中洲,東京メトロ半蔵門線,水天宮前,徒歩,5,30.52,1,0,0,1,0,6.8,2004,2,21
サンセール神楽坂,47000000,東京,新宿,西五軒町,東京メトロ有楽町線,江戸川橋,徒歩,5,36.72,1,1,1,1,0,3.8,1992,2,33
柏木ローズマンション,47800000,東京,新宿,北新宿３,ＪＲ中央線,大久保,徒歩,7,57.0,2,1,1,1,0,8.1,1973,4,52
ストークメイジュ,48800000,東京,渋谷,千駄ヶ谷４-５－１５,東京メトロ副都心線,北参道,徒歩,2,46.19,1,1,1,1,0,-,1978,10,47
マンションニュー恵比寿,48990000,東京,渋谷,恵比寿４,ＪＲ山手線,恵比寿,徒歩,3,43.16,1,1,1,1,0,6.28,1968,11,57
柏木ローズマンション,48990000,東京,新宿,北新宿３,ＪＲ総武線,大久保,徒歩,8,57.0,2,1,1,1,0,8.1,1973,4,52
３駅６路線利用可！【シャトー市ヶ谷】JR市ヶ谷駅６分…,49800000,東京,新宿,市谷左内町,ＪＲ中央線,市ケ谷,徒歩,6,50.29,1,1,1,1,0,-,1969,1,56
マートルコート下落合,49800000,東京,新宿,上落合１,西武新宿線,下落合,徒歩,2,51.0,1,0,1,1,1,6,1994,12,31
デュオスカーラ新宿,49800000,東京,新宿,新宿５,東京メトロ丸ノ内線,新宿三丁目,徒歩,6,35.4,1,1,1,1,0,2,2002,5,23
シティハウス日本橋,49800000,東京,中央,新川１,東京メトロ日比谷線,茅場町,徒歩,4,33.6,1,0,0,0,0,5.82,2003,8,22
キャッスルマンション荒木町,49900000,東京,新宿,荒木町,都営新宿線,曙橋,徒歩,4,43.58,1,1,1,1,0,2.38,1983,11,42
ファインライフ本駒込,49900000,東京,文京,本駒込５-72-1,東京メトロ南北線,駒込,徒歩,5,57.69,2,1,1,1,0,2.35,1981,12,44
スタンフオードコート,49990000,東京,渋谷,富ヶ谷１,東京メトロ千代田線,代々木公園,徒歩,3,32.01,1,1,1,1,0,4.2,1984,10,41
代々木コンド,49990000,東京,渋谷,代々木５,小田急線,代々木八幡,徒歩,5,42.54,2,1,1,1,0,9.74,1972,10,53
クレヴィア本郷,51800000,東京,文京,本郷４,都営三田線,春日,徒歩,1,31.0,1,0,0,1,0,5.03,2008,12,17
エクセルシオール文京大塚,52000000,東京,文京,大塚６,東京メトロ丸ノ内線,新大塚,徒歩,4,44.11,1,1,1,1,1,7.36,1997,5,28
ライオンズマンション高田馬場サウスレジデンス,52800000,東京,新宿,百人町４,ＪＲ山手線,高田馬場,徒歩,9,40.92,1,1,1,1,0,-,2005,5,20
マンション白金台,52900000,東京,港,白金台３,都営三田線,白金台,徒歩,5,40.54,1,1,1,1,0,3.78,1977,9,48
マンション白金台,52900000,東京,港,白金台３,都営三田線,白金台,徒歩,4,40.54,1,1,1,1,0,3.78,1977,9,48
メゾンドール代々木,52990000,東京,渋谷,代々木１,ＪＲ山手線,代々木,徒歩,4,60.7,2,1,1,1,0,6.58,1971,3,54
ライオンズマンション矢来町,52990000,東京,新宿,矢来町,東京メトロ東西線,神楽坂,徒歩,3,48.7,2,1,1,1,0,8.43,1980,6,45
東武ハイライン第２芝虎ノ門,52990000,東京,港,虎ノ門３,東京メトロ日比谷線,神谷町,徒歩,4,46.01,1,1,1,1,0,6.3,1981,6,44
メゾンドール代々木,52990000,東京,渋谷,代々木１,ＪＲ山手線,代々木,徒歩,4,60.7,2,1,1,1,0,6,1971,3,54
パークホームズ浜松町,53500000,東京,港,海岸１,ＪＲ山手線,浜松町,徒歩,5,25.4,1,0,0,1,0,5.32,2023,8,2
コーポ麹町,53800000,東京,千代田,三番町7-5,東京メトロ半蔵門線,半蔵門,徒歩,7,39.6,1,1,1,1,0,-,1970,6,55
コーポ麹町,53800000,東京,千代田,三番町,都営新宿線,市ケ谷,徒歩,8,39.6,1,1,1,1,0,-,1970,6,55
第27宮庭マンション,53990000,東京,文京,大塚４,東京メトロ丸ノ内線,新大塚,徒歩,5,58.95,2,1,1,1,0,9.71,1979,9,46
第27宮庭マンション,53990000,東京,文京,大塚４,東京メトロ丸ノ内線,新大塚,徒歩,3,58.95,2,1,1,1,0,9.71,1979,9,46
清桜ハイツ,54800000,東京,渋谷,桜丘町29-31,ＪＲ山手線,渋谷,徒歩,6,47.47,1,1,1,1,0,2.02,1970,9,55
ライオンズマンション白金,54800000,東京,港,白金３,東京メトロ南北線,白金高輪,徒歩,6,47.69,1,1,1,1,0,5.49,1977,12,48
サントーア哲学堂公園,54800000,東京,新宿,西落合２,都営大江戸線,落合南長崎,徒歩,9,60.59,3,1,1,1,0,7.84,1995,11,30
清桜ハイツ,54800000,東京,渋谷,桜丘町,ＪＲ山手線,渋谷,徒歩,6,47.47,1,1,1,1,0,2.02,1970,9,55
代々木ハビテーション,54800000,東京,渋谷,元代々木町,東京メトロ千代田線,代々木公園,徒歩,10,61.92,3,1,1,1,0,7.74,1968,12,57
代々木ハビテーション,54800000,東京,渋谷,元代々木町49-20,東京メトロ千代田線,代々木上原,徒歩,10,61.92,3,1,1,1,0,7.74,1968,11,57
日本橋アムフラット,54990000,東京,中央,日本橋中洲11-11,東京メトロ半蔵門線,水天宮前,徒歩,7,41.22,1,1,1,1,0,4.29,2025,2,0
日本橋アムフラット,54990000,東京,中央,日本橋中洲11-11,東京メトロ半蔵門線,水天宮前,徒歩,7,41.22,1,1,1,1,0,4.29,1995,1,30
日本橋アムフラット,54990000,東京,中央,日本橋中洲,東京メトロ半蔵門線,水天宮前,徒歩,7,41.22,1,1,1,1,0,4.29,1995,1,30
パールハイツ笹塚,55800000,東京,渋谷,笹塚２-4-1,京王線,笹塚,徒歩,4,65.3,2,1,1,1,0,-,1974,11,51
ライオンズマンション護国寺第３,55800000,東京,文京,音羽２-11-21,東京メトロ有楽町線,護国寺,徒歩,1,46.2,2,1,1,1,0,6.6,1984,6,41
三田綱町ハイツ,56800000,東京,港,三田２,都営大江戸線,麻布十番,徒歩,5,46.93,1,1,1,1,1,6.3,1970,9,55
明石町パークハウス,56800000,東京,中央,明石町,東京メトロ有楽町線,新富町,徒歩,5,73.86,1,1,1,1,1,4.06,1998,3,27
ライオンズマンション護国寺第三,56800000,東京,文京,音羽２,東京メトロ有楽町線,護国寺,徒歩,1,46.2,2,1,1,1,0,6.6,1984,6,41
三田綱町ハイツ,56800000,東京,港,三田２,東京メトロ南北線,麻布十番,徒歩,5,46.93,1,1,1,1,1,6.3,1970,9,55
ユニーブル白金台,56800000,東京,港,白金台２,都営浅草線,高輪台,徒歩,5,47.11,1,1,1,1,0,-,1981,10,44
イトーピア音羽,56800000,東京,文京,音羽１-１６－２,東京メトロ有楽町線,護国寺,徒歩,3,53.99,1,1,1,1,0,4.06,1985,9,40
ジェイパーク恵比寿弐番館,57500000,東京,渋谷,恵比寿２,ＪＲ山手線,恵比寿,徒歩,11,48.43,1,1,1,1,1,-,1997,3,28
朝日白山マンション,57800000,東京,文京,白山１,都営三田線,白山,徒歩,1,48.31,3,0,1,1,0,6.54,1985,5,40
秀和代官山レジデンス,57800000,東京,渋谷,猿楽町９番５号,東急東横線,代官山,徒歩,5,37.31,1,0,1,1,0,3.3,1972,4,53
六義園第８コーポ,57900000,東京,文京,本駒込６-15-19,ＪＲ山手線,駒込,徒歩,6,54.5,2,1,1,1,0,11.32,1976,3,49
バロール代々木,57990000,東京,渋谷,代々木２,ＪＲ山手線,代々木,徒歩,5,55.04,2,1,1,1,0,6.54,1980,11,45
三田スカイハイツ,58800000,東京,港,三田２,東京メトロ南北線,麻布十番,徒歩,10,48.16,1,1,1,1,0,6.18,1977,10,48
レックス四谷マンション,58990000,東京,新宿,若葉１,東京メトロ丸ノ内線,四ツ谷,徒歩,8,58.81,2,1,1,1,0,6.11,1973,3,52
ウエリス渋谷本町　築浅中古マンション　4階　南西角部…,59770000,東京,渋谷,本町４-49-12,都営大江戸線,西新宿五丁目,徒歩,8,56.04,2,1,1,1,0,11.7,2016,9,9
プレシス東神田,59800000,東京,千代田,東神田１,ＪＲ総武線快速,馬喰町,徒歩,5,39.72,1,1,1,1,0,3.96,2012,3,13
シティハウス西大久保,59800000,東京,新宿,大久保２,東京メトロ副都心線,西早稲田,徒歩,4,61.59,3,1,1,1,0,3.23,1981,8,44
ピアース新宿三丁目,59800000,東京,新宿,新宿５,東京メトロ丸ノ内線,新宿三丁目,徒歩,6,31.65,1,1,1,1,0,3.61,2023,1,2
クオリア小石川,59980000,東京,文京,小石川２,都営三田線,春日,徒歩,3,44.99,1,0,0,0,0,3.76,2003,4,22
ドム南青山,59980000,東京,港,南青山３-３-１０,東京メトロ銀座線,表参道,徒歩,9,48.22,2,1,1,1,0,8.91,1978,11,47
護国寺ロイアルハイツ,59990000,東京,文京,大塚５,東京メトロ丸ノ内線,新大塚,徒歩,5,55.53,2,1,1,1,0,6.05,1982,12,43
護国寺ロイアルハイツ,59990000,東京,文京,大塚５,東京メトロ有楽町線,護国寺,徒歩,5,55.53,2,1,1,1,0,6.05,1982,12,43
レックス四谷マンション,59990000,東京,新宿,若葉１,ＪＲ総武線,四ツ谷,徒歩,8,58.81,2,1,1,1,0,6.11,1973,3,52
レックス勝どきプレミアレジデンス,60800000,東京,中央,勝どき４,都営大江戸線,勝どき,徒歩,3,43.12,1,1,1,1,1,-,2012,5,13
ライオンズマンション原宿,60800000,東京,渋谷,千駄ヶ谷３-７－１４,東京メトロ副都心線,北参道,徒歩,5,45.78,1,1,1,1,0,5.6,1983,7,42
コープ戸山台,62500000,東京,新宿,戸山１,東京メトロ東西線,早稲田,徒歩,4,61.4,2,1,1,1,1,-,1968,4,57
メゾンルグラン本郷,62800000,東京,文京,本郷３,東京メトロ丸ノ内線,本郷三丁目,徒歩,5,61.51,2,1,1,1,0,4.9,1980,7,45
スカイエスタ,62800000,東京,新宿,西早稲田２-18-23,東京メトロ副都心線,西早稲田,徒歩,5,60.15,2,1,1,1,0,3.6,1992,7,33
ジュイール文京白山,62800000,東京,文京,白山２,都営三田線,白山,徒歩,5,41.18,1,1,1,1,0,4.18,2011,1,14
エクセレント三越前,62800000,東京,中央,日本橋小舟町,東京メトロ銀座線,三越前,徒歩,5,37.21,1,0,1,1,0,4.44,2000,7,25
クオリア恵比寿サウス,62990000,東京,渋谷,恵比寿南２,東京メトロ日比谷線,恵比寿,徒歩,4,35.41,1,1,1,1,0,7.53,2003,9,22
クオリア恵比寿サウス,62990000,東京,渋谷,恵比寿南２,東京メトロ日比谷線,恵比寿,徒歩,4,35.41,1,1,1,1,0,7,2003,9,22
パークハウス文京関口,63000000,東京,文京,関口１,東京メトロ有楽町線,江戸川橋,徒歩,2,40.67,1,0,1,1,0,5.64,2010,10,15
グレーシア勝どき,63000000,東京,中央,勝どき４,都営大江戸線,勝どき,徒歩,2,40.72,1,1,1,1,0,4.21,2014,10,11
パレドール原宿,64800000,東京,渋谷,神宮前２-30-7,ＪＲ山手線,原宿,徒歩,10,57.64,1,1,1,1,0,-,1978,8,47
ライオンズマンション初台,64800000,東京,渋谷,初台１,京王新線,初台,徒歩,1,54.0,1,1,1,1,0,5.4,1978,2,47
メロディーハイム銀座東,64800000,東京,中央,湊３,東京メトロ有楽町線,新富町,徒歩,4,44.72,1,1,1,1,0,6.52,1999,2,26
メインステージ西新宿Ⅱ,64800000,東京,新宿,西新宿４-39-27,京王新線,初台,徒歩,10,43.64,1,1,1,1,0,9.3,2011,12,14
パレドール原宿,64800000,東京,渋谷,神宮前２,ＪＲ山手線,原宿,徒歩,10,57.64,1,1,1,1,0,-,1978,8,47
ジーエスグランド文京千駄木,64800000,東京,文京,千駄木３,東京メトロ千代田線,千駄木,徒歩,2,37.66,1,1,1,1,0,4.86,2020,4,5
シティハウス東京新橋,64900000,東京,港,新橋６,都営三田線,御成門,徒歩,3,31.39,1,0,1,1,0,2.94,2004,8,21
ライオンズマンション下落合,64990000,東京,新宿,中落合１,西武新宿線,下落合,徒歩,3,59.3,2,1,1,1,0,8.36,1983,8,42
セザールベイサイド勝どき,64990000,東京,中央,勝どき３-3-12,都営大江戸線,勝どき,徒歩,4,43.64,1,1,1,1,0,4.18,2002,12,23
ハウス高田馬場,64990000,東京,新宿,高田馬場４,ＪＲ山手線,高田馬場,徒歩,10,81.05,3,1,1,1,0,6.12,1979,3,46
セザールベイサイド勝どき,64990000,東京,中央,勝どき３-3-12,都営大江戸線,勝どき,徒歩,5,43.64,1,1,1,1,0,4.18,2002,12,23
ライオンズマンション下落合,64990000,東京,新宿,中落合１,西武新宿線,下落合,徒歩,3,59.3,2,1,1,1,0,8.36,1983,8,42
ライオンズマンション下落合,64990000,東京,新宿,中落合１,西武新宿線,下落合,徒歩,3,59.3,2,1,1,1,0,8.36,1983,8,42
ＡＲＴＥＳＳＩＭＯ　ＰＲＩＭＡ（アルテシモプリマ）,65000000,東京,中央,日本橋中洲7-7,東京メトロ半蔵門線,水天宮前,徒歩,7,43.99,1,1,1,1,0,6.59,2014,8,11
アルテシモプリマ,65000000,東京,中央,日本橋中洲,東京メトロ半蔵門線,水天宮前,徒歩,7,43.99,1,1,1,1,0,6.59,2014,8,11
【独占公開！弊社管理物件！】オープンレジデンシア虎ノ…,65000000,東京,港,西新橋３-4-4,都営三田線,御成門,徒歩,7,34.16,1,1,1,1,0,3.94,2017,2,8
パレス本駒込,65800000,東京,文京,本駒込４-35-19,ＪＲ山手線,駒込,徒歩,10,60.34,3,1,1,1,0,12.91,1987,11,38
メイクスデザイン高田馬場,65880000,東京,新宿,下落合２-1-17,ＪＲ山手線,高田馬場,徒歩,7,44.06,1,1,1,1,0,4.15,2013,2,12
朝日九段マンション,65900000,東京,千代田,九段北１,東京メトロ半蔵門線,九段下,徒歩,2,40.07,1,1,1,1,0,4.65,1978,8,47
セザールベイサイド勝どき,65990000,東京,中央,勝どき３,都営大江戸線,勝どき,徒歩,4,43.64,1,1,1,1,0,4.18,2002,12,23
ガーデンホーム落合ヒルズ,66500000,東京,新宿,中落合２,西武新宿線,下落合,徒歩,4,66.62,3,1,1,1,0,-,1996,11,29
藤和新宿番衆町コープ,66990000,東京,新宿,新宿５,東京メトロ丸ノ内線,新宿御苑前,徒歩,6,48.0,2,0,1,1,0,7.8,1983,7,42
下落合南デュープレックス,67800000,東京,新宿,中落合１,西武新宿線,下落合,徒歩,6,63.8,2,1,1,1,1,4.08,1998,3,27
ウィルローズ茅場町,67800000,東京,中央,新川１,東京メトロ日比谷線,八丁堀,徒歩,5,40.34,1,1,1,1,0,5.02,2011,6,14
クオリア代々木,67800000,東京,渋谷,千駄ヶ谷４-30-8,ＪＲ山手線,代々木,徒歩,4,35.17,1,1,1,1,0,5.91,2005,2,20
ブリス弥生　安心のオートロックシステム+宅配ボックス…,67800000,東京,文京,弥生２,東京メトロ千代田線,根津,徒歩,3,56.35,2,1,1,1,0,3.3,1995,10,30
Brillia銀座id,68500000,東京,中央,銀座２,東京メトロ銀座線,銀座,徒歩,6,30.2,1,0,0,0,0,5.95,2004,10,21
藤和初台コープ２,68800000,東京,渋谷,初台１,京王新線,初台,徒歩,4,51.57,2,1,1,1,0,7.02,1985,4,40
藤和初台コープ2,68800000,東京,渋谷,初台１,京王新線,初台,徒歩,4,51.57,2,1,1,1,0,7.02,1985,4,40
グローリオコンフォート文京本駒込,68800000,東京,文京,本駒込５,東京メトロ南北線,駒込,徒歩,5,40.18,1,1,1,1,0,9.06,2018,1,7
徳川マンション,68900000,東京,文京,千石１,都営三田線,千石,徒歩,5,72.98,2,1,1,1,0,4.15,1971,2,54
市ヶ谷左内坂ハイム,68990000,東京,新宿,市谷左内町,東京メトロ有楽町線,市ケ谷,徒歩,3,57.89,2,1,1,1,0,18.89,1972,9,53
市ヶ谷左内坂ハイム,68990000,東京,新宿,市谷左内町,ＪＲ総武線,市ケ谷,徒歩,5,57.89,2,1,1,1,0,18.89,1972,9,53
パシフィックパレス中落合,69800000,東京,新宿,中落合２,西武新宿線,下落合,徒歩,7,71.8,3,1,1,1,0,6.31,1984,11,41
ザ・パームス東中野エアリィタワー,69800000,東京,新宿,北新宿４,ＪＲ総武線,東中野,徒歩,5,46.83,2,1,1,1,0,7.59,2000,2,25
シャーレ―原宿,69800000,東京,渋谷,神宮前２,ＪＲ山手線,原宿,徒歩,8,48.42,2,1,1,1,0,4.53,1978,3,47
ライフピア新宿中落合,69800000,東京,新宿,中落合２,西武新宿線,下落合,徒歩,4,57.24,2,1,1,1,0,6.52,2013,10,12
ザ・パームス東中野エアリィタワー,69800000,東京,新宿,北新宿４,ＪＲ中央線,東中野,徒歩,5,46.83,2,1,1,1,0,7.59,2000,2,25
ＰＲＥＭＩＵＭ　ＣＵＢＥ　Ｇ　北新宿,69800000,東京,新宿,北新宿４,ＪＲ中央線,大久保,徒歩,6,40.92,1,1,1,1,0,9.9,2018,4,7
ランドステージ白山,69800000,東京,文京,白山１,都営大江戸線,春日,徒歩,7,55.02,1,1,1,1,1,-,2006,6,19
オクトピア湊,69800000,東京,中央,湊３,東京メトロ有楽町線,新富町,徒歩,7,61.69,2,1,1,1,0,9.15,1982,6,43
グランスイート中落合,69800000,東京,新宿,中落合２,都営大江戸線,中井,徒歩,11,60.48,2,1,1,1,0,9.59,2004,11,21
ルジェンテ文京湯島,69900000,東京,文京,湯島２,東京メトロ千代田線,湯島,徒歩,5,36.53,1,1,1,1,0,6.3,2022,8,3
シャトレ市ヶ谷,69980000,東京,新宿,富久町,東京メトロ丸ノ内線,新宿御苑前,徒歩,8,65.96,2,1,1,1,1,-,1970,12,55
