apt_name,total Price,prefecture,city,town,line,station,way,walking time,area [m2],room,L,D,K,S,balcony [m2],date_month,age,population,price/m2,count,popularity
【ブランズ文京護国寺】南向きの光と開放感が彩る、文京…,154900000,東京,文京,大塚６,東京メトロ有楽町線,東池袋,徒歩,7,70.15,3,1,1,1,0,10.8,12,10,235345.0,2208125.4454739843,644,0.27364082517155663
プランシェード　メイツ白金,154900000,東京,港,白金３,都営三田線,白金高輪,徒歩,7,64.21,2,1,1,1,0,8.894773996952768,3,22,267780.0,2412396.8229247783,1955,0.7300769288221675
芝浦アイランドケープタワー,155000000,東京,港,芝浦４,ＪＲ山手線,田町,徒歩,14,71.38,2,1,1,1,1,11.76,10,19,267780.0,2171476.604090782,1955,0.7300769288221675
芝浦アイランドケープタワー,156800000,東京,港,芝浦４,ＪＲ山手線,田町,徒歩,12,67.5,3,1,1,1,0,19.66,10,19,267780.0,2322962.962962963,1955,0.7300769288221675
クレッセント渋谷神泉,156800000,東京,渋谷,神泉町20-17,京王井の頭線,神泉,徒歩,3,74.01,3,1,1,1,0,17.97,7,26,231402.0,2118632.61721389,1208,0.5220352460220741
ジェイパーク神楽坂,157800000,東京,新宿,北町23-1,都営大江戸線,牛込神楽坂,徒歩,2,71.37,3,1,1,1,0,14.18,8,25,352717.0,2211013.0306851617,1294,0.36686635461290495
パークコート代々木初台,157800000,東京,渋谷,初台２,京王新線,初台,徒歩,8,78.08,2,1,1,1,1,10.55,5,8,231402.0,2021004.0983606558,1208,0.5220352460220741
ワールドシティタワーズ キャピタルタワー,158000000,東京,港,港南４,東京モノレール,天王洲アイル,徒歩,4,84.17,3,1,1,1,0,5.7,10,19,267780.0,1877153.380064156,1955,0.7300769288221675
ワールドシティタワーズキャピタルタワー,158000000,東京,港,港南４-６－８,ＪＲ山手線,品川,徒歩,14,84.17,3,1,1,1,0,5.7,10,19,267780.0,1877153.380064156,1955,0.7300769288221675
ワールドシティタワーズキャピタルタワー,158000000,東京,港,港南４,ＪＲ山手線,品川,徒歩,14,84.17,3,1,1,1,0,5.7,10,19,267780.0,1877153.380064156,1955,0.7300769288221675
ワールドシティタワーズキャピタルタワー,158000000,東京,港,港南４,ＪＲ山手線,品川,徒歩,14,84.17,3,1,1,1,0,5.7,10,19,267780.0,1877153.380064156,1955,0.7300769288221675
オープンレジデンシア高輪プレイス,158000000,東京,港,高輪４,ＪＲ山手線,五反田,徒歩,10,82.67,2,1,1,1,0,7.1,3,11,267780.0,1911213.2575299384,1955,0.7300769288221675
オープンレジデンシア高輪プレイス,158000000,東京,港,高輪４,都営浅草線,高輪台,徒歩,14,82.67,2,1,1,1,0,7.1,2,11,267780.0,1911213.2575299384,1955,0.7300769288221675
プラウド本郷一丁目ディアージュ,159000000,東京,文京,本郷１,都営三田線,水道橋,徒歩,4,65.81,3,1,1,1,0,7.15,10,12,235345.0,2416046.1935876007,644,0.27364082517155663
ザ・パークハウス代々木大山,159000000,東京,渋谷,大山町,東京メトロ千代田線,代々木上原,徒歩,7,60.1,2,1,1,1,0,8.0,10,2,231402.0,2645590.6821963396,1208,0.5220352460220741
フォルム小石川,159800000,東京,文京,小石川３-27-16,都営三田線,春日,徒歩,6,90.53,3,1,1,1,0,5.47,9,35,235345.0,1765160.7202032476,644,0.27364082517155663
新宿アインスタワー,159800000,東京,新宿,新宿７,都営大江戸線,東新宿,徒歩,1,76.95,3,1,1,1,0,8.15,2,21,352717.0,2076673.1643924625,1294,0.36686635461290495
ＨＡＲＵＭＩ　ＦＬＡＧ　ＰＡＲＫ　ＶＩＬＬＡＧＥ　Ｂ…,159800000,東京,中央,晴海５,都営大江戸線,勝どき,徒歩,17,80.19,2,1,1,1,0,13.1,11,2,187404.0,1992767.1779523632,1127,0.6013745704467355
勝どきザ・タワー,159800000,東京,中央,勝どき５-3-1,都営大江戸線,勝どき,徒歩,7,71.18,2,1,1,1,0,10.55,1,8,187404.0,2245012.6440011235,1127,0.6013745704467355
プラウドタワー芝浦,159800000,東京,港,芝浦４,ＪＲ山手線,田町,徒歩,11,68.22,2,1,1,1,0,11.47,1,2,267780.0,2342421.577250073,1955,0.7300769288221675
パークタワー晴海,159800000,東京,中央,晴海２-2-42,都営大江戸線,勝どき,徒歩,11,73.56,3,1,1,1,0,22.0,2,6,187404.0,2172376.2914627516,1127,0.6013745704467355
センチュリーパークタワー,159800000,東京,中央,佃２,東京メトロ有楽町線,月島,徒歩,9,71.82,3,1,1,1,0,8.25,1,26,187404.0,2225006.9618490674,1127,0.6013745704467355
ヴェラハイツ恵比寿東,159900000,東京,渋谷,東３,ＪＲ山手線,恵比寿,徒歩,3,78.89,3,1,1,1,0,10.02,8,43,231402.0,2026872.8609456206,1208,0.5220352460220741
コスモ日本橋浜町,159900000,東京,中央,日本橋浜町３,都営新宿線,浜町,徒歩,4,67.69,3,1,1,1,0,8.1,6,25,187404.0,2362239.621805289,1127,0.6013745704467355
クレストフォルム日本橋,159900000,東京,中央,日本橋堀留町２,都営浅草線,人形町,徒歩,6,68.75,3,1,1,1,0,9.2,9,25,187404.0,2325818.1818181816,1127,0.6013745704467355
ＤＥＵＸ　ＴＯＵＲＳ　ＥＡＳＴ,160000000,東京,中央,晴海３-13-1,都営大江戸線,勝どき,徒歩,5,72.95,2,1,1,1,0,7.57,10,10,187404.0,2193283.0705962987,1127,0.6013745704467355
ＴＨＥ　ＴＯＫＹＯ　ＴＯＷＥＳ　ＭＩＤ　ＴＯＷＥＲ,160000000,東京,中央,勝どき６-3-2,都営大江戸線,勝どき,徒歩,6,73.94,2,1,1,1,0,73.0,1,17,187404.0,2163916.6892074654,1127,0.6013745704467355
ザ・パークハウス代々木大山,160000000,東京,渋谷,大山町,小田急線,代々木上原,徒歩,7,60.1,2,1,1,1,0,7.92,10,2,231402.0,2662229.6173044923,1208,0.5220352460220741
THE TOKYO TOWERS MID TOWER…,160000000,東京,中央,勝どき６,都営大江戸線,勝どき,徒歩,6,73.94,2,1,1,1,0,5.94,1,17,187404.0,2163916.6892074654,1127,0.6013745704467355
HARUMI FLAG SUN VILLAGE B棟,162000000,東京,中央,晴海５-5-2,都営大江戸線,勝どき,徒歩,16,75.8,3,1,1,1,0,14.67,11,2,187404.0,2137203.166226913,1127,0.6013745704467355
勝どきザ・タワー,164000000,東京,中央,勝どき５,都営大江戸線,勝どき,徒歩,7,79.84,3,1,1,1,0,9.87,11,9,187404.0,2054108.2164328657,1127,0.6013745704467355
勝どきザ・タワー,164000000,東京,中央,勝どき５,都営大江戸線,勝どき,徒歩,7,79.84,3,1,1,1,0,9.87,11,9,187404.0,2054108.2164328657,1127,0.6013745704467355
パークタワー晴海,164800000,東京,中央,晴海２,東京メトロ有楽町線,月島,徒歩,11,71.42,3,1,1,1,0,13.97,2,6,187404.0,2307476.8972276673,1127,0.6013745704467355
パークタワー勝どきサウス,164800000,東京,中央,勝どき４-6-1,都営大江戸線,勝どき,徒歩,2,56.71,2,1,1,1,0,8.69,8,2,187404.0,2906013.048845001,1127,0.6013745704467355
ザ・パークハウス晴海タワーズクロノレジデンス,164800000,東京,中央,晴海２,都営大江戸線,勝どき,徒歩,12,73.35,2,1,1,1,1,13.29,10,12,187404.0,2246762.099522836,1127,0.6013745704467355
プレミスト日本橋浜町公園,164900000,東京,中央,日本橋浜町２,都営新宿線,浜町,徒歩,2,70.09,3,1,1,1,0,9.47,7,8,187404.0,2352689.3993437006,1127,0.6013745704467355
パークハウス麻布十番アーバンス,164900000,東京,港,麻布十番３,都営大江戸線,麻布十番,徒歩,3,63.84,2,1,1,1,0,8.47,12,18,267780.0,2583020.050125313,1955,0.7300769288221675
パークハウス麻布十番アーバンス,164900000,東京,港,麻布十番３,都営大江戸線,麻布十番,徒歩,3,63.84,2,1,1,1,0,8.47,12,18,267780.0,2583020.050125313,1955,0.7300769288221675
ワールドシティタワーズ　ブリーズタワー,165000000,東京,港,港南４,ＪＲ山手線,品川,徒歩,15,73.22,2,1,1,1,0,9.16,10,19,267780.0,2253482.655012292,1955,0.7300769288221675
勝どきザ・タワー,167800000,東京,中央,勝どき５,都営大江戸線,勝どき,徒歩,6,84.6,3,1,1,1,0,14.17,11,9,187404.0,1983451.5366430262,1127,0.6013745704467355
ＨＡＲＵＭＩ　ＦＬＡＧ　ＰＡＲＫ　ＶＩＬＬＡＧＥ,168000000,東京,中央,晴海５,都営大江戸線,勝どき,徒歩,22,83.44,3,1,1,1,0,8.894773996952768,11,2,187404.0,2013422.8187919464,1127,0.6013745704467355
ザ・パークハウス高輪タワー,168000000,東京,港,高輪１,東京メトロ南北線,白金高輪,徒歩,2,56.62,2,1,1,1,0,6.97,10,4,267780.0,2967149.4171670787,1955,0.7300769288221675
小石川ザ・レジデンス　イーストスクエア,168000000,東京,文京,小石川３,都営三田線,春日,徒歩,10,85.85,3,1,1,1,0,5.4,2,20,235345.0,1956901.5725101924,644,0.27364082517155663
ドミ小石川,168000000,東京,文京,小石川５-6-9,東京メトロ丸ノ内線,茗荷谷,徒歩,2,127.24,3,1,1,1,0,15.97,3,54,235345.0,1320339.5158755109,644,0.27364082517155663
晴海フラッグPARK VILLAGE B棟,168000000,東京,中央,晴海５,都営大江戸線,勝どき,徒歩,18,78.85,3,1,1,1,0,36.34,11,2,187404.0,2130627.7742549144,1127,0.6013745704467355
早稲田セントラルハイツ,168000000,東京,新宿,西早稲田３,東京メトロ東西線,高田馬場,徒歩,10,188.19,1,0,0,0,0,14.7,9,50,352717.0,892714.8095010362,1294,0.36686635461290495
プラウド代々木上原,168000000,東京,渋谷,上原２,小田急線,代々木上原,徒歩,5,60.71,2,1,1,1,0,5.45,6,20,231402.0,2767254.1591171143,1208,0.5220352460220741
東新宿レジデンシャルタワー,168000000,東京,新宿,歌舞伎町２,都営大江戸線,東新宿,徒歩,1,80.32,3,1,1,1,0,10.46,2,24,352717.0,2091633.4661354583,1294,0.36686635461290495
ワールドシティタワーズ　ブリーズタワー,168800000,東京,港,港南４-6-5,りんかい線,天王洲アイル,徒歩,7,81.76,2,1,1,1,0,6.82,10,19,267780.0,2064579.2563600782,1955,0.7300769288221675
サンウッド神楽坂,168800000,東京,新宿,筑土八幡町,都営大江戸線,牛込神楽坂,徒歩,5,65.84,3,1,1,1,0,17.17,12,4,352717.0,2563791.008505468,1294,0.36686635461290495
ブランズタワー芝浦,169000000,東京,港,芝浦２,ＪＲ山手線,田町,徒歩,8,55.98,2,1,1,1,0,18.75,8,4,267780.0,3018935.3340478744,1955,0.7300769288221675
南青山マスターズハウス,169800000,東京,港,南青山４,東京メトロ銀座線,外苑前,徒歩,11,65.41,2,1,1,1,0,7.36,2,13,267780.0,2595933.343525455,1955,0.7300769288221675
恵比寿ブルーメ,169800000,東京,渋谷,恵比寿４,ＪＲ山手線,恵比寿,徒歩,7,67.03,2,1,1,1,0,8.894773996952768,9,27,231402.0,2533194.0921975235,1208,0.5220352460220741
オーベル明石町レジデンス,169800000,東京,中央,明石町,東京メトロ有楽町線,新富町,徒歩,3,71.2,3,1,1,1,0,6.08,2,11,187404.0,2384831.4606741574,1127,0.6013745704467355
外苑マンション,169800000,東京,渋谷,千駄ヶ谷５,東京メトロ副都心線,北参道,徒歩,5,142.83,3,1,1,1,1,8.0,3,60,231402.0,1188825.8769166141,1208,0.5220352460220741
ウィン麻布十番ハラビル,169800000,東京,港,麻布十番２-4-1,東京メトロ南北線,麻布十番,徒歩,3,61.26,2,1,1,1,0,7.73,3,30,267780.0,2771792.3604309503,1955,0.7300769288221675
アクシア麻布,169900000,東京,港,麻布十番２-２１－６,東京メトロ南北線,麻布十番,徒歩,1,69.59,1,1,1,1,0,12.24,5,20,267780.0,2441442.736025291,1955,0.7300769288221675
ＧＬＯＢＡＬ　ＦＲＯＮＴ　ＴＯＷＥＲ,171000000,東京,港,芝浦１,ＪＲ山手線,田町,徒歩,10,60.04,2,1,1,1,0,10.68,9,10,267780.0,2848101.265822785,1955,0.7300769288221675
ザ・パークハウス晴海タワーズティアロレジデンス,172800000,東京,中央,晴海２-3-2,都営大江戸線,勝どき,徒歩,13,73.48,3,1,1,1,0,13.48,3,9,187404.0,2351660.3157321718,1127,0.6013745704467355
ドゥトゥール,172800000,東京,中央,晴海３-13-1,都営大江戸線,勝どき,徒歩,5,70.7,2,1,1,1,0,5.08,10,10,187404.0,2444130.127298444,1127,0.6013745704467355
代官山アドレス　ザ・レジデンスウエスト（Ｅ棟）,173000000,東京,渋谷,代官山町,東急東横線,代官山,徒歩,1,43.44,1,0,0,0,0,8.894773996952768,8,25,231402.0,3982504.6040515658,1208,0.5220352460220741
リビオ初台アリアフォート,174000000,東京,渋谷,初台２,京王新線,初台,徒歩,6,83.9,3,1,1,1,0,17.8,1,15,231402.0,2073897.497020262,1208,0.5220352460220741
ザ・パークハウス山吹神楽坂,174800000,東京,新宿,山吹町,東京メトロ有楽町線,江戸川橋,徒歩,4,75.8,3,1,1,1,0,6.4,10,8,352717.0,2306068.6015831134,1294,0.36686635461290495
クレストプライムタワー芝,174800000,東京,港,芝１,ＪＲ山手線,浜松町,徒歩,6,66.3,2,1,1,1,0,15.1,8,18,267780.0,2636500.754147813,1955,0.7300769288221675
クレッセント麻布ビュータワー,174800000,東京,港,東麻布１-14-5,都営大江戸線,赤羽橋,徒歩,2,59.87,1,1,1,1,0,8.84,2,24,267780.0,2919659.2617337564,1955,0.7300769288221675
アトラス恵比寿景丘,175000000,東京,渋谷,恵比寿４,ＪＲ山手線,恵比寿,徒歩,7,47.74,1,1,1,1,0,8.894773996952768,2,2,231402.0,3665689.149560117,1208,0.5220352460220741
アトラス恵比寿景丘,175000000,東京,渋谷,恵比寿４,ＪＲ山手線,恵比寿,徒歩,6,47.74,1,1,1,1,0,8.894773996952768,2,2,231402.0,3665689.149560117,1208,0.5220352460220741
コスモ日本橋浜町,178000000,東京,中央,日本橋浜町３,都営新宿線,浜町,徒歩,4,71.35,3,1,1,1,0,15.0,6,25,187404.0,2494744.218640505,1127,0.6013745704467355
パークタワー晴海,178000000,東京,中央,晴海２,東京メトロ有楽町線,月島,徒歩,12,82.27,2,1,1,1,0,18.49,5,6,187404.0,2163607.6334022125,1127,0.6013745704467355
代々木の杜ハイツ,179000000,東京,渋谷,代々木５,東京メトロ千代田線,代々木公園,徒歩,8,125.2,2,1,1,1,1,15.23,11,52,231402.0,1429712.4600638978,1208,0.5220352460220741
シティハウス四谷坂町,179000000,東京,新宿,四谷坂町,都営新宿線,曙橋,徒歩,5,76.05,1,1,1,1,1,6.37,4,7,352717.0,2353714.661406969,1294,0.36686635461290495
HARUMI FLAG SEA VILLAGE E棟,179800000,東京,中央,晴海５-4-5,都営大江戸線,勝どき,徒歩,15,85.73,3,1,1,1,0,16.83,11,2,187404.0,2097282.1649364284,1127,0.6013745704467355
【グランリビオ表参道】２０２４年６月完成　新築未入居…,179800000,東京,渋谷,渋谷２,東京メトロ半蔵門線,渋谷,徒歩,7,54.09,2,1,1,1,0,11.61,6,1,231402.0,3324089.48049547,1208,0.5220352460220741
クイーンズパレス東京中央,179800000,東京,中央,八丁堀４,東京メトロ日比谷線,八丁堀,徒歩,2,81.45,3,1,1,1,0,5.4,2,25,187404.0,2207489.257213014,1127,0.6013745704467355
グランリビオ表参道,179800000,東京,渋谷,渋谷２,ＪＲ山手線,渋谷,徒歩,7,54.09,2,1,1,1,0,11.61,6,1,231402.0,3324089.48049547,1208,0.5220352460220741
THE TOKYO TOWERS SEA TOWER,179800000,東京,中央,勝どき６-3-1,都営大江戸線,勝どき,徒歩,7,84.74,3,1,1,1,0,6.74,1,17,187404.0,2121784.281331131,1127,0.6013745704467355
勝どき ザ・タワー,179800000,東京,中央,勝どき５-3-1,都営大江戸線,勝どき,徒歩,7,84.6,4,1,1,1,0,14.17,11,9,187404.0,2125295.508274232,1127,0.6013745704467355
グランリビオ表参道,179800000,東京,渋谷,渋谷２,東京メトロ半蔵門線,渋谷,徒歩,7,54.09,2,1,1,1,0,11.0,6,1,231402.0,3324089.48049547,1208,0.5220352460220741
新築未入居　即内覧可能　グランリビオ表参道　,179800000,東京,渋谷,渋谷２,ＪＲ山手線,渋谷,徒歩,9,54.09,2,1,1,1,0,11.61,6,1,231402.0,3324089.48049547,1208,0.5220352460220741
ザ・パークハウス東日本橋,180000000,東京,中央,東日本橋２,都営浅草線,東日本橋,徒歩,4,70.81,2,1,1,1,0,9.76,12,8,187404.0,2542013.839853128,1127,0.6013745704467355
東京タイムズタワー,180000000,東京,千代田,外神田４,ＪＲ山手線,秋葉原,徒歩,5,62.44,1,1,1,1,0,3.86,9,21,68835.0,2882767.4567584884,323,0.46923803297740974
アトラス白金台レジデンス,183800000,東京,港,白金台２,都営浅草線,高輪台,徒歩,3,70.02,3,1,1,1,0,10.82,6,1,267780.0,2624964.2959154528,1955,0.7300769288221675
ドゥ・トゥール　ＷＥＳＴ,184000000,東京,中央,晴海３,都営大江戸線,勝どき,徒歩,6,72.25,3,1,1,1,1,7.12,10,10,187404.0,2546712.802768166,1127,0.6013745704467355
品川Vタワー,184800000,東京,港,港南２,ＪＲ山手線,品川,徒歩,6,61.21,2,1,1,1,0,4.57,3,22,267780.0,3019114.5237706257,1955,0.7300769288221675
ワールドシティタワーズキャピタルタワー,184800000,東京,港,港南４,ＪＲ山手線,品川,徒歩,13,82.89,2,1,1,1,0,5.0,10,19,267780.0,2229460.7310893955,1955,0.7300769288221675
ブリリアザタワー東京八重洲アベニュー,184800000,東京,中央,新川２,ＪＲ京葉線,八丁堀,徒歩,1,59.66,2,1,1,1,0,10.85,9,8,187404.0,3097552.799195441,1127,0.6013745704467355
キャピタルマークタワー,184800000,東京,港,芝浦４,ＪＲ山手線,田町,徒歩,9,87.55,3,1,1,1,0,12.44,10,18,267780.0,2110793.8320959453,1955,0.7300769288221675
ＤＥＵＸ　ＴＯＵＲＳ　ＷＥＳＴ,185000000,東京,中央,晴海３,都営大江戸線,勝どき,徒歩,9,72.95,2,1,1,1,0,7.57,9,10,187404.0,2535983.5503769703,1127,0.6013745704467355
東京ツインパークス　レフトウイング,185000000,東京,港,東新橋１,都営大江戸線,汐留,徒歩,3,63.18,1,1,1,1,0,10.66,9,23,267780.0,2928141.817030706,1955,0.7300769288221675
ベイクレストタワー,185000000,東京,港,港南３-9-33,東京モノレール,天王洲アイル,徒歩,14,108.98,3,1,1,1,0,31.6,8,20,267780.0,1697559.1851715911,1955,0.7300769288221675
芝浦アイランドケープタワー,185000000,東京,港,芝浦４-19-1,ＪＲ山手線,田町,徒歩,12,82.17,3,1,1,1,0,8.894773996952768,10,19,267780.0,2251429.9622733355,1955,0.7300769288221675
ワールドシティタワーズ　アクアタワー,185000000,東京,港,港南４,東京モノレール,天王洲アイル,徒歩,7,80.53,3,1,1,1,0,7.55,10,20,267780.0,2297280.5165776727,1955,0.7300769288221675
ベイクレストタワー,185000000,東京,港,港南３,ＪＲ山手線,品川,徒歩,15,108.98,3,1,1,1,0,31.6,8,20,267780.0,1697559.1851715911,1955,0.7300769288221675
４４階！駐車場空き有り！【芝浦アイランドケープタワー…,185000000,東京,港,芝浦４,ＪＲ山手線,田町,徒歩,12,82.17,3,1,1,1,1,8.894773996952768,10,19,267780.0,2251429.9622733355,1955,0.7300769288221675
ベイクレストタワー,185000000,東京,港,港南３-9-33,ＪＲ山手線,品川,徒歩,15,108.98,3,1,1,1,0,31.6,8,20,267780.0,1697559.1851715911,1955,0.7300769288221675
目白台豊坂グランドヒルズ,185000000,東京,文京,目白台１,東京メトロ副都心線,雑司が谷,徒歩,9,116.85,3,1,1,1,0,16.46,9,32,235345.0,1583226.3585793753,644,0.27364082517155663
グレイスコート代々木公園,187000000,東京,渋谷,富ヶ谷１-47-1,東京メトロ千代田線,代々木公園,徒歩,3,56.45,2,1,1,1,0,11.35,5,25,231402.0,3312666.076173605,1208,0.5220352460220741
パークタワー晴海,188000000,東京,中央,晴海２,東京メトロ有楽町線,月島,徒歩,12,70.84,3,1,1,1,0,17.2,2,6,187404.0,2653867.8712591757,1127,0.6013745704467355
【フェリアセレクション】☆高台に位置する低層マンショ…,188500000,東京,新宿,下落合３,ＪＲ山手線,目白,徒歩,10,147.02,3,1,1,1,1,11.83,11,43,352717.0,1282138.4845599236,1294,0.36686635461290495
コスモポリス品川,189000000,東京,港,港南３,ＪＲ京浜東北線,品川,徒歩,10,82.07,2,1,1,1,0,19.4,2,20,267780.0,2302912.1481661997,1955,0.7300769288221675
パークタワー品川ベイワード,189000000,東京,港,港南３,ＪＲ山手線,品川,徒歩,14,71.59,2,1,1,1,0,21.2,11,20,267780.0,2640033.524235228,1955,0.7300769288221675
CAPITAL GATE PLACE THE TOW…,189800000,東京,中央,月島１-5‐1,東京メトロ有楽町線,月島,徒歩,1,63.43,2,1,1,1,0,15.5,7,10,187404.0,2992274.9487624154,1127,0.6013745704467355
勝どきザ・タワー,189800000,東京,中央,勝どき５,都営大江戸線,勝どき,徒歩,7,70.01,2,1,1,1,0,12.04,11,9,187404.0,2711041.2798171686,1127,0.6013745704467355
プラウド本郷,190000000,東京,文京,本郷５,都営大江戸線,本郷三丁目,徒歩,5,87.7,2,1,1,1,1,6.95,12,22,235345.0,2166476.6248574685,644,0.27364082517155663
ファミールグラン西麻布パークアベニュー,194000000,東京,港,西麻布３,東京メトロ日比谷線,広尾,徒歩,8,59.1,1,1,1,1,0,8.62,1,25,267780.0,3282571.9120135363,1955,0.7300769288221675
スカイライトタワー,194000000,東京,中央,佃１,東京メトロ有楽町線,月島,徒歩,8,92.82,3,1,1,1,0,15.5,2,32,187404.0,2090066.795949149,1127,0.6013745704467355
勝どきザ・タワー,194800000,東京,中央,勝どき５,都営大江戸線,勝どき,徒歩,7,70.01,2,1,1,1,0,12.04,11,9,187404.0,2782459.6486216253,1127,0.6013745704467355
パークグランディ代々木サウスレジデンス,195000000,東京,渋谷,初台２,京王新線,初台,徒歩,7,79.1,3,1,1,1,0,13.01,10,25,231402.0,2465233.881163085,1208,0.5220352460220741
ファミール月島グランスイートタワー,197000000,東京,中央,佃２,東京メトロ有楽町線,月島,徒歩,1,93.5,3,1,1,1,0,18.74,6,23,187404.0,2106951.871657754,1127,0.6013745704467355
シティタワー麻布十番,198000000,東京,港,三田１-6-3,東京メトロ南北線,麻布十番,徒歩,7,46.88,1,1,1,1,0,6.0,6,16,267780.0,4223549.488054607,1955,0.7300769288221675
オープンレジデンシア四谷荒木町,198000000,東京,新宿,荒木町,都営新宿線,曙橋,徒歩,2,79.42,4,1,1,1,0,10.47,7,1,352717.0,2493074.792243767,1294,0.36686635461290495
シティタワー麻布十番,198000000,東京,港,三田１,東京メトロ南北線,麻布十番,徒歩,5,46.88,1,1,1,1,0,6.0,5,16,267780.0,4223549.488054607,1955,0.7300769288221675
シティタワー麻布十番,198000000,東京,港,三田１-6-3,東京メトロ南北線,麻布十番,徒歩,5,46.88,1,1,1,1,0,6.0,6,16,267780.0,4223549.488054607,1955,0.7300769288221675
スカイライトタワー,198000000,東京,中央,佃１,東京メトロ有楽町線,月島,徒歩,8,103.85,3,1,1,1,0,15.27,2,32,187404.0,1906596.0519980742,1127,0.6013745704467355
ザ・タワーズ台場　イースト,198000000,東京,港,台場２,新交通ゆりかもめ,お台場海浜公園,徒歩,3,100.83,2,1,1,1,0,6.05,5,19,267780.0,1963701.2793811366,1955,0.7300769288221675
パークタワー晴海,198000000,東京,中央,晴海２,東京メトロ有楽町線,月島,徒歩,12,83.31,4,1,1,1,0,21.45,2,6,187404.0,2376665.4663305725,1127,0.6013745704467355
イトーピア白金高輪壱番館,198000000,東京,港,三田５,東京メトロ南北線,白金高輪,徒歩,3,88.34,4,1,1,1,0,15.79,1,23,267780.0,2241340.2762055695,1955,0.7300769288221675
シティタワー麻布十番,198000000,東京,港,三田１,都営大江戸線,麻布十番,徒歩,5,46.88,1,1,1,1,0,6.0,6,16,267780.0,4223549.488054607,1955,0.7300769288221675
ヴェーゼント芝の杜,198000000,東京,港,芝公園３,東京メトロ日比谷線,神谷町,徒歩,6,60.09,2,1,1,1,0,11.3,2,20,267780.0,3295057.4138791813,1955,0.7300769288221675
オープンレジデンシア四谷荒木町,198000000,東京,新宿,荒木町,都営新宿線,曙橋,徒歩,2,79.42,4,1,1,1,0,10.47,7,1,352717.0,2493074.792243767,1294,0.36686635461290495
プラウド恵比寿,198000000,東京,渋谷,恵比寿南３,ＪＲ山手線,恵比寿,徒歩,6,38.88,1,1,1,1,0,8.894773996952768,3,13,231402.0,5092592.592592592,1208,0.5220352460220741
勝どきザ・タワー,198000000,東京,中央,勝どき５,都営大江戸線,勝どき,徒歩,6,72.09,2,1,1,1,0,11.95,11,9,187404.0,2746566.791510612,1127,0.6013745704467355
オープンレジデンシア代々木ザ・ハウス,198000000,東京,渋谷,代々木５-51-7,小田急線,参宮橋,徒歩,5,74.83,3,1,1,1,0,8.1,8,9,231402.0,2645997.5945476415,1208,0.5220352460220741
勝どきザ・タワー,198000000,東京,中央,勝どき５,都営大江戸線,勝どき,徒歩,6,84.62,3,1,1,1,1,9.87,11,9,187404.0,2339872.3705979674,1127,0.6013745704467355
ジオ四谷荒木町,198000000,東京,新宿,荒木町,東京メトロ丸ノ内線,四谷三丁目,徒歩,5,71.04,3,1,1,1,0,12.7,2,7,352717.0,2787162.162162162,1294,0.36686635461290495
パークタワー勝どき ミッド,199000000,東京,中央,勝どき４,都営大江戸線,勝どき,徒歩,1,64.0,2,1,1,1,0,7.64,8,2,187404.0,3109375.0,1127,0.6013745704467355
オープンレジデンシア南青山骨董通り,199000000,東京,港,南青山６,東京メトロ銀座線,表参道,徒歩,10,68.08,3,1,1,1,0,4.06,9,12,267780.0,2923031.7273795535,1955,0.7300769288221675
パークハウス代々木上原,199000000,東京,渋谷,富ヶ谷２,東京メトロ千代田線,代々木上原,徒歩,9,67.8,3,1,1,1,0,4.41,5,24,231402.0,2935103.244837758,1208,0.5220352460220741
ＴＨＥ　ＴＯＫＹＯ　ＴＯＷＥＲＳ　ＳＥＡ　ＴＯＷＥＲ,199800000,東京,中央,勝どき６,都営大江戸線,勝どき,徒歩,6,101.5,3,1,1,1,1,9.52,1,17,187404.0,1968472.9064039409,1127,0.6013745704467355
シティハウス恵比寿伊達坂,199800000,東京,渋谷,恵比寿３-43-3,ＪＲ山手線,恵比寿,徒歩,10,64.0,2,1,1,1,0,8.894773996952768,10,10,231402.0,3121875.0,1208,0.5220352460220741
インペリアルガーデン,199800000,東京,文京,千石２,都営三田線,千石,徒歩,9,90.32,3,1,1,1,1,11.43,1,10,235345.0,2212134.632418069,644,0.27364082517155663
センチュリーパークタワー,199800000,東京,中央,佃２,東京メトロ有楽町線,月島,徒歩,9,82.26,2,1,1,1,0,8.4,1,26,187404.0,2428884.0262582055,1127,0.6013745704467355
インペリアルガーデン,199800000,東京,文京,千石２-11-9,都営三田線,千石,徒歩,9,90.32,3,1,1,1,0,11.43,1,10,235345.0,2212134.632418069,644,0.27364082517155663
ローザ赤坂｜フルリノベーション,199800000,東京,港,赤坂８,東京メトロ千代田線,乃木坂,徒歩,9,92.46,2,1,1,1,0,8.91,10,43,267780.0,2160934.4581440627,1955,0.7300769288221675
インペリアルガーデン,199800000,東京,文京,千石２,都営三田線,千石,徒歩,9,90.32,3,1,1,1,0,11.43,1,10,235345.0,2212134.632418069,644,0.27364082517155663
ライオンズマンション乃木坂,200000000,東京,港,赤坂８,東京メトロ千代田線,乃木坂,徒歩,4,74.18,3,1,1,1,1,8.02,10,27,267780.0,2696144.513345915,1955,0.7300769288221675
神楽坂トワイシアヒルサイドレジデンス,204800000,東京,新宿,白銀町6-1,東京メトロ東西線,神楽坂,徒歩,4,73.17,2,1,1,1,0,7.58,2,21,352717.0,2798961.322946563,1294,0.36686635461290495
