apt_name,total Price,prefecture,city,town,line,station,way,walking time,area [m2],room,L,D,K,S,balcony [m2],date_month,age,population,price/m2,count,popularity
ファミール南青山ブランカ,76800000,東京,港,南青山７,東京メトロ千代田線,表参道,徒歩,12,41.81,1,1,1,1,0,6.34,3,22,267780.0,1836881.1289165271,1955,0.7300769288221675
麻布コーポラス,77000000,東京,港,南麻布５,東京メトロ日比谷線,広尾,徒歩,5,75.66,2,1,1,1,0,8.894773996952768,11,66,267780.0,1017710.8115252446,1955,0.7300769288221675
ブランズ明石町,77700000,東京,中央,明石町,東京メトロ有楽町線,新富町,徒歩,6,40.11,1,1,1,1,0,5.18,4,8,187404.0,1937172.77486911,1127,0.6013745704467355
日神パレステージ西麻布,77800000,東京,港,西麻布４,東京メトロ日比谷線,六本木,徒歩,10,38.2,1,0,1,1,1,3.46,3,29,267780.0,2036649.2146596857,1955,0.7300769288221675
ライオンズマンション後楽園,77800000,東京,文京,水道１,東京メトロ丸ノ内線,後楽園,徒歩,9,55.51,2,1,1,1,0,3.83,8,29,235345.0,1401549.2704017295,644,0.27364082517155663
ニュー信濃町ハイツ,77980000,東京,新宿,左門町,東京メトロ丸ノ内線,四谷三丁目,徒歩,4,72.31,3,1,1,1,0,5.22,8,46,352717.0,1078412.3910939011,1294,0.36686635461290495
ランドステージ白山,77980000,東京,文京,白山１,都営大江戸線,春日,徒歩,7,55.24,1,1,1,1,1,6.14,6,19,235345.0,1411658.2186821143,644,0.27364082517155663
ガーデンホーム落合ヒルズ,78000000,東京,新宿,中落合２,西武新宿線,下落合,徒歩,4,66.62,3,1,1,1,0,8.73,11,29,352717.0,1170819.573701591,1294,0.36686635461290495
ルイマーブル乃木坂,79800000,東京,港,赤坂９,東京メトロ千代田線,乃木坂,徒歩,3,57.77,1,0,0,0,0,4.25,6,47,267780.0,1381339.7957417343,1955,0.7300769288221675
フリーディオ西麻布,79800000,東京,港,西麻布４,東京メトロ日比谷線,広尾,徒歩,6,41.78,1,0,0,0,0,7.7,11,26,267780.0,1910004.786979416,1955,0.7300769288221675
フォルトゥナ日本橋,79800000,東京,中央,日本橋小舟町,東京メトロ銀座線,三越前,徒歩,7,45.17,1,1,1,1,0,5.33,3,24,187404.0,1766659.2871374805,1127,0.6013745704467355
ランダム小石川B,79800000,東京,文京,春日２,東京メトロ丸ノ内線,茗荷谷,徒歩,9,65.22,2,1,1,1,0,6.2,1,33,235345.0,1223551.0579576818,644,0.27364082517155663
グランベル西早稲田プレシャス,79800000,東京,新宿,西早稲田２,東京メトロ東西線,早稲田,徒歩,6,67.86,2,1,1,1,0,20.09,1,18,352717.0,1175950.4862953138,1294,0.36686635461290495
ニュー九段マンション,79980000,東京,千代田,九段南４,東京メトロ有楽町線,市ケ谷,徒歩,2,59.95,3,1,1,1,0,5.5,10,55,68835.0,1334111.7597998332,323,0.46923803297740974
【ニュー九段マンション】内装リフォーム　３駅６路線利…,79980000,東京,千代田,九段南４,ＪＲ中央線,市ケ谷,徒歩,2,59.95,3,1,1,1,0,5.5,10,55,68835.0,1334111.7597998332,323,0.46923803297740974
クリオ目白台壱番館,79990000,東京,文京,目白台２,東京メトロ副都心線,雑司が谷,徒歩,5,61.37,2,1,1,1,0,7.96,1,21,235345.0,1303405.572755418,644,0.27364082517155663
ルモン広尾,79990000,東京,渋谷,広尾１,ＪＲ山手線,恵比寿,徒歩,3,46.98,2,1,1,1,0,3.36,8,46,231402.0,1702639.4210302257,1208,0.5220352460220741
グローイン新宿御苑,79990000,東京,新宿,新宿１,東京メトロ丸ノ内線,新宿御苑前,徒歩,3,55.08,1,1,1,1,1,7.14,12,40,352717.0,1452251.270878722,1294,0.36686635461290495
イニシアイオ高田馬場,81900000,東京,新宿,高田馬場３,西武新宿線,下落合,徒歩,6,58.19,2,1,1,1,0,6.36,2,13,352717.0,1407458.326172882,1294,0.36686635461290495
グランシティ天王洲アイル,82100000,東京,港,港南４,東京モノレール,天王洲アイル,徒歩,11,53.91,2,1,1,1,0,8.36,10,27,267780.0,1522908.5512891859,1955,0.7300769288221675
エンブレム下落合,82300000,東京,新宿,下落合４,西武新宿線,下落合,徒歩,6,81.09,2,1,1,1,0,12.15,10,39,352717.0,1014921.6919472191,1294,0.36686635461290495
パークタワー晴海,82800000,東京,中央,晴海２,都営大江戸線,月島,徒歩,12,43.92,1,1,1,1,0,10.84,5,6,187404.0,1885245.9016393442,1127,0.6013745704467355
ライオンズシティ九段,82800000,東京,千代田,九段南３,都営新宿線,市ケ谷,徒歩,5,41.62,1,1,1,1,0,5.37,11,27,68835.0,1989428.1595386835,323,0.46923803297740974
Ｂｒｉｌｌｉａ月島四丁目,82900000,東京,中央,月島４,東京メトロ有楽町線,月島,徒歩,3,38.36,1,1,1,1,0,6.15,11,1,187404.0,2161105.3180396245,1127,0.6013745704467355
浜町グランドハイツ,82990000,東京,中央,日本橋中洲,東京メトロ半蔵門線,水天宮前,徒歩,5,65.78,3,1,1,1,0,9.23,8,49,187404.0,1261629.6746731529,1127,0.6013745704467355
パークタワー西新宿エムズポート,83800000,東京,新宿,西新宿８,東京メトロ丸ノ内線,西新宿,徒歩,4,57.34,1,1,1,1,1,22.37,9,12,352717.0,1461457.9700034878,1294,0.36686635461290495
虎ノ門ガーデン,84000000,東京,港,虎ノ門３,東京メトロ日比谷線,神谷町,徒歩,3,68.04,1,1,1,1,1,9.07,3,43,267780.0,1234567.9012345679,1955,0.7300769288221675
パストラルハイム面影橋,84800000,東京,新宿,西早稲田３,東京メトロ副都心線,西早稲田,徒歩,10,70.28,3,1,1,1,0,1.0,6,33,352717.0,1206602.1627774616,1294,0.36686635461290495
CONOE一番町,84800000,東京,千代田,一番町,東京メトロ半蔵門線,半蔵門,徒歩,3,31.26,1,1,1,1,0,3.36,2,13,68835.0,2712731.925783749,323,0.46923803297740974
